
"Legs · Day 5 · Week 43 · Upper/Lower PPL","2026-03-28 1:00 pm","1:37 hr"
"1. Deadlifts · Barbell · 8 reps"
#,KG,REPS
1,60,12
"2. Leg Press · Machine · 10 reps"
#,KG,REPS
1,120,12
2,120,10
3,120,10
"3. Lying Leg Curls · Machine · 12 reps"
#,KG,REPS
1,35,12
2,35,12
3,35,12
"4. Hack Squats · Machine · 10 reps"
#,KG,REPS
1,20,8
2,20,8
3,20,8
"5. Leg Extensions · Machine · 10 reps"
#,KG,REPS
1,45,12
2,50,8
3,45,10

"Push · Day 3 · Week 43 · Upper/Lower PPL","2026-03-26 8:15 pm","1:25 hr"
"1. Chest Dips · Bodyweight · 10 reps"
#,KG,REPS
1,+0,8
2,+0,8
3,+0,7
"2. Shoulder Press · Machine · 8 reps"
#,KG,REPS
1,40,5
2,40,6
3,40,5
"3. Bench Press · Dumbbells · 10 reps"
#,KG,REPS
1,45,8
2,45,6
3,45,6
"4. Face Pulls with Rope · Cable · 10 reps"
#,KG,REPS
1,25,12
2,25,12
3,25,12
"5. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,20,15
2,20,15
3,20,15
"6. Butterfly with Wide Grip · Machine · 10 reps"
#,KG,REPS
1,30,12
2,30,10
3,30,10

"Upper · Day 1 · Week 43 · Upper/Lower PPL","2026-03-21 8:02 pm","50 min"
"1. Seated chest press · Machine · 8 reps"
#,KG,REPS
1,50,12
2,50,12
3,50,10
"2. Standing Shoulder Press · Barbell · 10 reps"
#,KG,REPS
1,30,10
2,30,10
3,30,10
"3. Triceps Pushdowns · Cable · 15 reps"
#,KG,REPS
1,18,15
2,18,12
3,18,10
"4. Rows with Wide Grip · Cable · 15 reps"
#,KG,REPS
1,30,15
2,30,15
3,35,15
"5. Preacher Curls · Machine · 10 reps"
#,KG,REPS
1,20,10
2,20,9
3,20,8

"Lower · Day 2 · Week 43 · Upper/Lower PPL","2026-03-17 6:33 pm","1:01 hr"
"1. Deadlifts · Barbell · 8 reps"
#,KG,REPS
1,60,10
2,60,10
3,60,10

"Push · Standalone workout","2026-03-16 7:39 pm","49 min"
"1. Seated chest press · Machine · 8 reps"
#,KG,REPS
1,35,15
2,45,12
3,45,12
"2. Lat Pulldowns with Wide Neutral Grip · Machine · 10 reps"
#,KG,REPS
1,80,6
2,80,6
3,80,6
"3. Rows with Close Grip · Cable · 10 reps"
#,KG,REPS
1,35,12
2,45,11
3,45,10
"4. Seated Dip · Machine · 10 reps"
#,KG,REPS
1,120,12
2,120,11
3,120,15
"5. Face Pulls with Rope · Cable · 10 reps"
#,KG,REPS
1,22.5,12
2,22.5,10
3,22.5,9
"6. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,12.5,15
2,15,15
3,15,10

"Legs · Day 5 · Week 42 · Upper/Lower PPL","2026-03-09 9:26 pm","36 min"
"1. Leg Press · Machine · 8 reps"
#,KG,REPS
1,50,12
2,100,12
3,100,12
"2. Deadlifts · Barbell · 10 reps"
#,KG,REPS
1,40,12
2,40,12
3,40,12
"3. Dips · Bodyweight · 10 reps"
#,KG,REPS
1,+0,8
2,+0,8
3,+0,7

"Push · Day 3 · Week 42 · Upper/Lower PPL","2026-03-04 5:12 pm","48 min"
"1. Incline Bench Press · Barbell · 8 reps"
#,KG,REPS
1,40,12
2,40,12
3,40,12
"2. Lateral Raises · Machine · 10 reps"
#,KG,REPS
1,25,10
2,25,10
3,25,12
"3. Standing Shoulder Press · Barbell · 10 reps"
#,KG,REPS
1,25,12
2,25,12
3,25,12
"4. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,18,12
2,18,12
3,15,15
"5. Dips · Bodyweight · 10 reps"
#,KG,REPS
1,+0,7
2,+0,7
3,+0,6

"Lower · Day 2 · Week 42 · Upper/Lower PPL","2026-03-01 4:16 pm","58 min"
"1. Deadlifts · Barbell · 8 reps"
#,KG,REPS
1,60,10
2,60,10
3,60,10
"2. Leg Extensions · Machine · 10 reps"
#,KG,REPS
1,25,15
2,30,15
3,35,15
4,40,15

"Upper · Day 1 · Week 42 · Upper/Lower PPL","2026-02-28 1:25 pm","10 min"
"1. Shoulder Press · Machine · 8 reps · 2 dropsets"
#,KG,REPS
1,40,11
2,40,11
3,40,10
"2. Rows with Wide Grip · Cable · 10 reps"
#,KG,REPS
1,30,15
2,30,12
3,30,12
"3. Seated Dip · Machine · 10 reps"
#,KG,REPS
1,100,12
2,100,12
3,100,12
4,100,12
5,100,12
"4. Standing flys · Machine · 8 reps"
#,KG,REPS
1,20,8
2,20,8
3,20,8
"5. Lateral Raises · Machine · 10 reps"
#,KG,REPS
1,20,15
2,25,12
3,25,9
"6. Triceps Pushdowns · Cable · 15 reps"
#,KG,REPS
1,16.5,15
2,18,12
3,18,12
"7. Curls · Dumbbells · 15 reps"
#,KG,REPS
1,20,15
2,20,12
3,20,12

"Push · Standalone workout","2026-02-20 6:36 pm","2 min"
"1. Shoulder Press · Machine · 8 reps"
#,KG,REPS
1,40,12
2,40,9
3,40,9
"2. Chest-Supported Rows with Wide Grip · Machine · 10 reps"
#,KG,REPS
1,40,10
2,40,10
3,40,10
"3. Lat Pulldowns with Wide Overhand Grip · Machine · 10 reps · 1 dropset"
#,KG,REPS
1,55,12
2,55,11
